Name,Image_link,Price
Sorrento - The Clutch Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_6da33c56-456c-4d92-b010-e1156b77a4b1_3024x.jpg?v=1692269486,"Rs. 6,999.00"
Austin - The Backpacker,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_bdaea439-6ff8-4e88-9633-dfc05be2944e_3024x.jpg?v=1692277823,"Rs. 9,599.00"
Luka - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_32c1b849-c8a0-40a2-85a0-d27ddf056e0b_3024x.jpg?v=1692363390,"Rs. 13,998.00"
Aimee - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_e49bf245-cf5b-4dee-a3d8-b402f1aff659_3024x.jpg?v=1692617766,"Rs. 5,999.00"
Bluebell- The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_7572970c-f5a4-4cc4-97d6-d656a1e54aff_3024x.jpg?v=1692365287,"Rs. 5,299.00"
Brielle - The Tote,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_981d3f0f-ce00-4e2a-a170-1b1777fe6dc4_3024x.jpg?v=1691737659,"Rs. 9,599.00"
Gardenia - The Medium Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_750c167a-2042-4be3-8f7a-8d9edb12e98a_3024x.jpg?v=1692704179,"Rs. 9,099.00"
Harmonia - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_a052c91d-24ad-4226-bd7f-f50a6881db67_3024x.jpg?v=1691833476,"Rs. 11,898.00"
Annika - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_d9d28664-200d-4213-8861-c355f75328be_3024x.jpg?v=1691565651,"Rs. 1,999.00"
Iris - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_43165d58-19ed-419f-a37c-a189624a30ca_3024x.jpg?v=1692607634,"Rs. 8,499.00"
Herringbone - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_9af7782f-881f-450d-88c7-3e41f72e9469_3024x.jpg?v=1692429460,"Rs. 10,599.00"
